ID	Sex	Age	Head.L	Head.W	Neck.G	Chest.G	Weight
41	F	23	12.5	5.0	20.5	38.0	142
48	M	81	15.5	8.0	31.0	54.0	416
69	M	*	16.0	8.0	32.0	52.0	432
83	M	117	15.5	7.5	32.0	54.5	476
238	M	70	15.0	6.5	28.0	45.0	334
274	F	57	13.5	7.0	20.0	38.0	204
518	M	45	13.5	7.0	24.0	39.0	204
520	F	9	9.0	4.5	12.0	19.0	26
522	M	21	13.0	6.0	19.0	30.0	120
525	M	177	16.0	9.5	30.0	48.0	436
527	F	57	12.5	5.0	19.0	32.0	125
529	F	81	13.0	5.0	20.0	33.0	132
531	M	21	13.0	5.0	17.0	28.0	90
533	M	9	10.0	4.0	13.0	23.0	40
535	M	45	16.0	6.0	24.0	42.0	220
538	M	9	10.0	4.0	13.5	23.0	46
541	M	33	13.5	6.0	22.0	34.0	154
543	F	57	13.0	5.5	17.5	31.0	116
545	F	45	13.0	6.5	21.0	34.5	182
547	M	21	14.5	5.5	20.0	34.0	150
549	M	10	9.5	4.5	16.0	26.0	65
551	F	82	13.5	6.5	28.0	48.0	356
553	F	70	14.5	6.5	26.0	48.0	316
555	M	10	11.0	5.0	17.0	29.0	94
557	M	10	11.5	5.0	17.0	29.5	86
560	M	34	13.0	7.0	21.0	35.0	150
562	M	34	16.5	6.5	27.0	44.5	270
564	M	34	14.0	5.5	24.0	39.0	202
568	F	58	13.5	6.5	21.5	40.0	202
570	M	58	15.5	7.0	28.0	50.0	365
572	M	11	11.5	6.0	16.5	31.0	79
576	M	23	12.0	6.5	19.0	38.0	148
579	M	70	15.5	7.0	28.0	55.0	446
581	F	11	9.0	5.0	15.0	27.0	62
583	F	83	14.5	7.0	23.0	44.0	236
585	M	35	13.5	8.5	23.0	44.0	212
598	M	*	14.5	6.5	26.0	41.0	278
626	M	*	13.5	6.5	22.0	36.0	190
630	M	*	13.0	6.0	19.5	31.0	140
644	M	*	13.0	5.5	19.5	35.0	162
648	M	*	13.0	5.5	19.5	32.5	126
659	M	*	17.0	8.5	30.5	48.5	368
661	M	*	12.0	5.5	18.0	32.0	116
663	F	*	14.0	7.0	21.0	37.0	160
665	M	*	13.0	6.5	20.5	36.5	154
670	M	*	16.0	7.5	28.0	45.0	316
673	F	*	13.5	5.5	19.5	35.0	158
675	F	*	12.5	5.5	19.0	32.0	120
679	M	*	15.5	7.5	25.5	43.0	324
681	M	*	14.5	7.0	22.0	38.0	196
